context,set,feature,response,timepoint,y_true,model,y_pred
C,train,topo,ACTIVITY,8,1.0,SVR,0.968229917676842
C,train,topo,ACTIVITY,8,1.0,SVR,0.9687263287929522
C,train,topo,ACTIVITY,8,1.0,SVR,0.9696484429323159
C,train,topo,ACTIVITY,8,0.4492753623188406,SVR,0.9577566608702864
C,train,topo,ACTIVITY,8,1.0,SVR,0.974660629473698
C,test,topo,ACTIVITY,8,0.1162790697674418,SVR,0.9789889810299126
C,train,topo,ACTIVITY,8,1.0,SVR,0.9848797069553594
C,test,topo,ACTIVITY,8,1.0,SVR,1.00206269763237
C,test,topo,ACTIVITY,8,0.4545454545454546,SVR,0.9741739795851796
C,train,topo,ACTIVITY,8,1.0,SVR,0.9722762025949674
C,train,topo,ACTIVITY,8,0.9692307692307692,SVR,0.9779138235259291
C,test,topo,ACTIVITY,8,1.0,SVR,0.9757313762370908
C,test,topo,ACTIVITY,8,1.0,SVR,0.9608963809342494
C,train,topo,ACTIVITY,8,0.96,SVR,0.9784090956386624
C,train,topo,ACTIVITY,8,0.6417910447761195,SVR,0.9662037064553796
C,test,topo,ACTIVITY,8,1.0,SVR,0.9728756174707538
C,train,topo,ACTIVITY,8,1.0,SVR,0.9751691141520508
C,train,topo,ACTIVITY,8,1.0,SVR,0.9611631238746892
C,test,topo,ACTIVITY,8,0.962962962962963,SVR,0.9757181513691418
C,train,topo,ACTIVITY,8,0.9565217391304348,SVR,0.9752340728321922
C,train,topo,ACTIVITY,8,1.0,SVR,0.9810040999381948
C,train,topo,ACTIVITY,8,1.0,SVR,0.9684315774777924
C,test,topo,ACTIVITY,8,1.0,SVR,0.9621050387127336
C,test,topo,ACTIVITY,8,1.0,SVR,0.9722536346561892
C,train,topo,ACTIVITY,8,1.0,SVR,0.9648151139111132
C,train,topo,ACTIVITY,8,1.0,SVR,0.96848675560995
C,train,topo,ACTIVITY,8,1.0,SVR,0.9687879738647976
C,test,topo,ACTIVITY,8,1.0,SVR,0.9774460034054241
C,train,topo,ACTIVITY,8,0.9661016949152544,SVR,0.9705834829497544
C,test,topo,ACTIVITY,8,1.0,SVR,0.9773673716145108
C,train,topo,ACTIVITY,8,1.0,SVR,0.9863313763768299
C,test,topo,ACTIVITY,8,0.8275862068965518,SVR,0.969125918716136
C,test,topo,ACTIVITY,8,1.0,SVR,0.960007934610532
C,train,topo,ACTIVITY,8,1.0,SVR,0.967868309570454
C,train,topo,ACTIVITY,8,1.0,SVR,0.9778285161262472
C,train,topo,ACTIVITY,8,1.0,SVR,0.9682280370006192
C,train,topo,ACTIVITY,8,0.7419354838709677,SVR,0.9494391097532056
C,test,topo,ACTIVITY,8,1.0,SVR,0.9606787032168552
C,train,topo,ACTIVITY,8,0.8909090909090909,SVR,0.9496275442626914
C,test,topo,ACTIVITY,8,0.408450704225352,SVR,0.962960080120456
C,train,topo,ACTIVITY,8,0.9661016949152544,SVR,0.956332506017752
C,train,topo,ACTIVITY,8,1.0,SVR,0.9815275205418086
C,test,topo,ACTIVITY,8,1.0,SVR,0.9668321765515682
C,test,topo,ACTIVITY,8,1.0,SVR,0.9587546513210744
C,train,topo,ACTIVITY,8,1.0,SVR,0.9855981884818076
C,train,topo,ACTIVITY,8,0.7727272727272727,SVR,0.9385810421524132
C,train,topo,ACTIVITY,8,1.0,SVR,0.9826278299880312
C,train,topo,ACTIVITY,8,0.9666666666666666,SVR,0.9711342989148316
C,train,topo,ACTIVITY,8,1.0,SVR,0.9681258140467062
C,train,topo,ACTIVITY,8,1.0,SVR,0.9560472252404733
C,test,topo,ACTIVITY,8,1.0,SVR,0.9639367995928456
C,train,topo,ACTIVITY,8,0.9111111111111112,SVR,0.9429565478060676
C,train,topo,ACTIVITY,8,1.0,SVR,0.9740001106296088
C,train,topo,ACTIVITY,8,0.9365079365079364,SVR,0.9845638114062804
C,train,topo,ACTIVITY,8,0.9696969696969696,SVR,0.9687941492213792
C,train,topo,ACTIVITY,8,1.0,SVR,0.9854094814923524
C,train,topo,ACTIVITY,8,1.0,SVR,0.9681676962948468
C,test,topo,ACTIVITY,8,1.0,SVR,0.9658968319190944
C,train,topo,ACTIVITY,8,1.0,SVR,0.9668001209531436
C,test,topo,ACTIVITY,8,1.0,SVR,0.9805541537958238
C,test,topo,ACTIVITY,8,0.9696969696969696,SVR,0.9874702434971478
C,train,topo,ACTIVITY,8,1.0,SVR,0.9681403462689512
C,train,topo,ACTIVITY,8,1.0,SVR,0.9717374306960148
C,test,topo,ACTIVITY,8,1.0,SVR,0.9830353697271388
C,train,topo,ACTIVITY,8,1.0,SVR,0.9760752795754168
C,train,topo,ACTIVITY,8,1.0,SVR,0.9856205134481736
C,train,topo,ACTIVITY,8,1.0,SVR,0.967233526767254
C,train,topo,ACTIVITY,8,1.0,SVR,0.9712273677470566
C,train,topo,ACTIVITY,8,0.2602739726027396,SVR,0.9569778443624736
C,train,topo,ACTIVITY,8,1.0,SVR,0.9755723340250366
C,test,topo,ACTIVITY,8,1.0,SVR,0.9599701164862448
C,test,topo,ACTIVITY,8,1.0,SVR,0.9780566353447478
C,test,topo,ACTIVITY,8,1.0,SVR,0.96737244077279
C,train,topo,ACTIVITY,8,1.0,SVR,0.9561296346590122
C,train,topo,ACTIVITY,8,0.8999999999999999,SVR,0.9697577198773412
C,train,topo,ACTIVITY,8,1.0,SVR,0.9781206392113742
C,train,topo,ACTIVITY,8,1.0,SVR,0.9804400514267028
C,train,topo,ACTIVITY,8,1.0,SVR,0.9698613095012528
C,train,topo,ACTIVITY,8,1.0,SVR,0.97139087082825
C,train,topo,ACTIVITY,8,1.0,SVR,0.958352530689572
C,train,topo,ACTIVITY,8,1.0,SVR,0.9865292983185104
C,train,topo,ACTIVITY,8,1.0,SVR,0.9752781719763328
C,test,topo,ACTIVITY,8,1.0,SVR,0.9798206420141984
C,train,topo,ACTIVITY,8,1.0,SVR,0.9525817066216984
C,test,topo,ACTIVITY,8,1.0,SVR,0.9547204957099265
C,train,topo,ACTIVITY,8,0.943661971830986,SVR,0.9462329356654828
C,test,topo,ACTIVITY,8,1.0,SVR,0.9671626957174108
C,train,topo,ACTIVITY,8,0.9493670886075948,SVR,0.980645635657508
C,test,topo,ACTIVITY,8,0.9104477611940298,SVR,0.9601081045938624
C,train,topo,ACTIVITY,8,1.0,SVR,0.9686999831131172
C,train,topo,ACTIVITY,8,1.0,SVR,0.9693044978671096
C,train,topo,ACTIVITY,8,0.9333333333333332,SVR,0.9666806142630175
C,test,topo,ACTIVITY,8,1.0,SVR,0.9775354301878556
C,train,topo,ACTIVITY,8,0.8965517241379308,SVR,0.9712766713255389
C,train,topo,ACTIVITY,8,1.0,SVR,1.0007172056565956
C,train,topo,ACTIVITY,8,0.9310344827586208,SVR,0.9708628221176294
C,test,topo,ACTIVITY,8,0.4499999999999999,SVR,0.972162331543066
C,test,topo,ACTIVITY,8,0.943661971830986,SVR,0.9735887984962712
C,train,topo,ACTIVITY,8,1.0,SVR,0.9748387133302624
C,test,topo,ACTIVITY,8,0.8846153846153846,SVR,0.9671328783611042
C,train,topo,ACTIVITY,8,1.0,SVR,0.9746318985497932
C,test,topo,ACTIVITY,8,0.9375,SVR,0.972710768618496
C,train,topo,ACTIVITY,8,1.0,SVR,0.9823825897130316
C,train,topo,ACTIVITY,8,1.0,SVR,0.9753780058870288
C,train,topo,ACTIVITY,8,0.9428571428571428,SVR,0.9743907902774342
C,train,topo,ACTIVITY,8,1.0,SVR,0.9715774744976872
C,train,topo,ACTIVITY,8,1.0,SVR,0.9686864097077716
C,train,topo,ACTIVITY,8,1.0,SVR,0.9620925966788488
